"simulation","statistic","p_value","asymptotic_statistic","asymptotic_p_value","score_stationarity","information_rank","covariance_rank","nu","loglik","elapsed_seconds","error"
1,20.2875342506839,0.2865,47.9420090752784,0.475204154668978,0.061433866361334,66,48,21.5125206193616,-33369.8942097046,35.675,NA
2,13.6596193777402,0.783,63.2149564558755,0.0694091474807576,0.0664128599086068,66,48,21.6960309275537,-33348.7119629635,32.964,NA
3,22.7988543858286,0.1645,63.4623864860171,0.0666497098899434,0.0557720629555944,66,48,16.9374414106335,-33480.6449115714,33.217,NA
4,20.0928199936451,0.282,61.8560983438351,0.0863075810559127,0.0579696821873083,66,48,19.0182201586073,-33436.8326943283,35.977,NA
5,21.5734705894625,0.231,80.3204131689723,0.00237624710949713,0.0541330477918275,66,48,21.3808012897555,-33282.0431412139,32.546,NA
6,22.614718298112,0.1845,44.5687229990085,0.614242333921749,0.0615218758443151,66,48,20.5932721194595,-33475.7347844141,29.2,NA
7,26.6920514296291,0.0535,80.8455510595809,0.00210802438423786,0.064704297423149,66,48,21.6254358128638,-33548.7156105662,27.455,NA
8,22.4217307091072,0.1835,51.76941230117,0.328970901844194,0.057243803998437,66,48,19.6328388228311,-33688.151774792,27.573,NA
9,19.2853025035909,0.3675,66.1729389370257,0.041996145884426,0.0578176090112039,66,48,21.9085949549415,-33556.6672377927,24.491,NA
10,16.0801345988575,0.576,51.9858808351729,0.321426336464382,0.0554792025310233,66,48,19.4182067656276,-33348.3009925447,24.913,NA
11,11.5854198964242,0.8875,40.1534125416454,0.782333251995049,0.053201528110993,66,48,18.5237275725067,-33724.4303904921,26.479,NA
12,20.6628413093742,0.2405,69.4123298805428,0.0232290383086271,0.0524293234560794,66,48,18.5435877257264,-33557.2651698362,24.46,NA
13,15.3392138670701,0.6385,50.4769827971465,0.375847416866999,0.0551961765129969,66,48,19.6685607411381,-33359.9123493591,26.196,NA
14,15.9853912596918,0.606,54.6044887436957,0.237990565457644,0.0539310569244931,66,48,19.2042379064335,-33030.5861438737,25.329,NA
15,27.3570905840433,0.058,80.7155686405571,0.00217162560312316,0.0515499249810458,66,48,17.5605749045216,-33533.4519091825,26.539,NA
16,7.98474564698009,0.9905,46.899489681748,0.517927150547693,0.0589281665193715,66,48,19.5523319920194,-33467.6994410634,25.786,NA
17,16.6382145020041,0.5515,62.0874233021504,0.0832138696505983,0.061134620875217,66,48,21.7453111801799,-33277.0459688492,22.924,NA
18,17.947769299338,0.447,59.5084602560012,0.123263524444838,0.0641332421873495,66,48,20.6430736855006,-33684.5049321154,22.95,NA
19,20.5766454602288,0.254,70.4765225573848,0.018949547247666,0.0542938132557101,66,48,19.3720782163958,-33470.6697094684,26.363,NA
20,17.0302373234965,0.522,54.5501394389642,0.239567980828066,0.0574818086322946,66,48,18.6348373875412,-33570.8591607444,23.392,NA
21,51.5748721115146,5e-04,92.659440268228,0.000115828343104366,0.0578382331832081,66,48,18.9443610532817,-33562.3928151518,22.922,NA
22,24.2290901138381,0.113,71.860231520061,0.0144482139213067,0.0583338657892779,66,48,19.8180190417403,-33323.4877144343,24.776,NA
23,18.8198042718304,0.3775,60.1924028471412,0.111404313712502,0.0530664012765158,66,48,19.2535962504654,-33229.3459516521,25.947,NA
24,23.3642590612669,0.1495,51.530282072228,0.337411640594492,0.0548685555670191,66,48,18.5591028626128,-33329.7935024652,22.803,NA
25,15.8312522276624,0.577,45.1878351033604,0.588767295113366,0.0594628957827647,66,48,20.3663630829618,-33165.0926811363,24.334,NA
26,17.238455786849,0.5385,43.3986267587549,0.661611630767054,0.0612972783084739,66,48,19.5046268547454,-33203.2355699221,25.41,NA
27,13.1779618409206,0.8185,34.74476842094,0.924002563572873,0.0609517358748556,66,48,18.6176771672259,-33422.4046585654,24.51,NA
28,15.3176211902254,0.65,44.4912586694806,0.617414321622876,0.0553316784920464,66,48,17.7608222750866,-33638.8853030987,24.915,NA
29,21.7249097536354,0.236,49.6309657706654,0.408063424906103,0.0512099591683,66,48,18.1568930973723,-33409.1153247646,24.399,NA
30,16.5724152993843,0.5335,62.0328429733778,0.0839355217631535,0.0623161947889825,66,48,20.2026685422879,-33369.1975768229,23.458,NA
31,22.4267290303797,0.1775,66.0112983206506,0.0432069277113048,0.0730793607139067,66,48,21.347678794481,-33446.536363351,22.618,NA
32,24.6620386330955,0.1045,56.4755616015438,0.187820214559988,0.052360812107281,66,48,18.7489662933369,-33543.7979525777,28.743,NA
33,29.1105336766469,0.031,53.7209410276179,0.264464031001193,0.0672170060924986,66,48,20.8382636998368,-33486.3565344802,34.163,NA
34,19.0047917600485,0.3825,64.5201988751211,0.0558669923862106,0.059634387031962,66,48,20.4990587414384,-33398.7226465438,35.016,NA
35,28.1061401012452,0.037,64.6749214693328,0.0544211042721296,0.0575943679805,66,48,19.4877066319119,-33924.570604189,38.812,NA
36,18.8662163750321,0.367,88.3008717750184,0.000352915817743773,0.070473453499403,66,48,21.6798780641113,-33353.1571769061,33.331,NA
37,18.8664300950495,0.3915,58.208989942826,0.148460786478824,0.0635457250288668,66,48,20.2491335378433,-33514.7862300087,28.534,NA
38,32.3942815079579,0.012,83.2520908750688,0.00120468380610526,0.0499515599943569,66,48,18.3875180395811,-33486.7263274472,33.283,NA
39,25.2127644266803,0.097,65.681258383868,0.0457729899091556,0.0614092976778498,66,48,20.300343126982,-33469.8269556679,29.761,NA
40,23.0053624211744,0.157,69.6121333454789,0.0223652149835279,0.0554736127566284,66,48,19.1687303292304,-33614.6105759608,30.192,NA
41,13.378212886532,0.788,49.3901400077859,0.4174271571431,0.0682493375258844,66,48,20.8830534752303,-33257.2984618358,25.057,NA
42,22.3044535455735,0.1755,63.5252812066253,0.0659630911416942,0.0599966021255945,66,48,18.6883469916725,-33356.837213274,23.433,NA
43,20.1078227931542,0.3075,71.6504622681014,0.0150615834032817,0.0625279350937129,66,48,20.3090125808791,-33318.0399704704,26.964,NA
44,30.5788556354466,0.0155,89.4877652040719,0.000261808780676942,0.0612599306298535,66,48,20.9331220170052,-33508.8704872946,26.329,NA
45,17.2385565028597,0.5145,50.2317112178708,0.385072447454573,0.0552589865705972,66,48,18.2349412629126,-33679.070781306,27.872,NA
46,14.1790181652822,0.744,66.1784469279429,0.0419554101823288,0.055780439023996,66,48,19.533849385502,-33501.4868394443,29.007,NA
47,18.6546611599178,0.4085,69.2653727302149,0.0238832346737858,0.0540918658972034,66,48,18.3568779926475,-33286.1647280581,27.739,NA
48,18.5251280583346,0.3945,65.2448920315425,0.0493662253975262,0.0502010520815008,66,48,17.8088870323811,-33512.9785194775,27.261,NA
49,22.8634744689327,0.184,56.3415587885709,0.191145830806126,0.0614691106535604,66,48,20.9997180043439,-33258.4087347335,24.658,NA
50,29.4798084143141,0.034,68.2767521291194,0.0287260654594773,0.0528756997435331,66,48,18.8710957905291,-33574.6531641816,26.129,NA
51,15.7122774370688,0.631,46.6083585090913,0.529955008138005,0.0669185851920953,66,48,21.4740776742227,-33213.5230595238,22.256,NA
52,23.0833031630872,0.1545,61.939276178266,0.0851845434409619,0.0539130569497794,66,48,20.002714462217,-33581.5874638361,26.843,NA
53,17.6553978194173,0.4795,56.4916483527685,0.187423744486654,0.061003781299053,66,48,22.8257168748183,-33288.7587582784,26.557,NA
54,26.247079483456,0.079,54.6231573948248,0.237450287902068,0.0639170719551859,66,48,20.0320606169265,-33395.2388266753,25.833,NA
55,30.834490576278,0.022,78.0349022923952,0.00396191233770918,0.0621279566367053,66,48,18.7957095546088,-33408.1432859211,24.028,NA
